site,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
US-UMB,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,,
US-Var,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-WBW,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,,,,,,
US-WCr,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
US-Wi0,,,,,,,,,,,,Fair_Use,,,,,
US-Wi1,,,,,,,,,,,,,Fair_Use,,,,
US-Wi2,,,,,,,,,,,,,Fair_Use,,,,
US-Wi4,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
US-Wi5,,,,,,,,,,,,,,Fair_Use,,,
US-Wi6,,,,,,,,,,,,Fair_Use,,,,,
US-Wi7,,,,,,,,,,,,,,,Fair_Use,,
US-Wi8,,,,,,,,,,,,Fair_Use,,,,,
US-Wi9,,,,,,,,,,,,,,Fair_Use,Fair_Use,,
US-Wkg,,,,,,,,,,,,,,Open,Open,Open,
US-Wrc,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,LaThuile_2007,LaThuile_2007,LaThuile_2007,
VU-Coc,,,,,,,,,,,Open,Open,Open,Open,,,
ZA-Kru,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,,,

